Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1152,0,-0.98,2032.56,0.00,55.00,0.00,1,0.10,0.00,-0.21,0,0.00,0
2,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1171,0,-0.96,2032.56,0.00,55.00,0.00,1,0.20,0.00,-0.21,0,0.00,0
3,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1210,0,-0.94,2032.56,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
4,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1269,0,-0.92,2032.56,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
5,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1349,0,-0.90,2032.56,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
6,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1451,0,-0.88,2032.56,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
7,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1579,0,-0.86,2032.56,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
8,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1734,0,-0.84,2032.56,0.00,55.00,0.00,1,0.80,0.00,-0.21,0,0.00,0
9,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,1921,0,-0.82,2032.56,0.00,55.00,0.00,1,0.90,0.00,-0.21,0,0.00,0
10,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,2142,0,-0.80,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
11,19:07:37,-0.01,-0.02,-0.00,0.33,0.00,2403,0,-0.78,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
