Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,04:30:19,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.98,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
2,04:30:23,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.96,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
3,04:30:23,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.94,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
4,04:30:23,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.92,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
5,04:30:23,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.90,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
6,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.88,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
7,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.86,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
8,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.84,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
9,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.82,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
10,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.80,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
11,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.78,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
12,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.76,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
13,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.74,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
14,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.72,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
15,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.70,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
16,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.68,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
17,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.66,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
18,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.64,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
19,04:30:24,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.62,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
20,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.60,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
21,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.58,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
22,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.56,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
23,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.54,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
24,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.52,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
25,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.50,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
26,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.48,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
27,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.46,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
28,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.44,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
29,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.42,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
30,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.40,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
31,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.38,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
32,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.36,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
33,04:30:25,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.34,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
34,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.32,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
35,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.30,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
36,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.28,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
37,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.26,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
38,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.24,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
39,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.22,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
40,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.20,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
41,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.18,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
42,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.16,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
43,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.14,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
44,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.12,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
45,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.10,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
46,04:30:26,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.08,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
47,04:30:27,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.06,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
48,04:30:27,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.04,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
49,04:30:27,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.02,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
50,04:30:27,-0.07,0.00,-0.02,0.33,0.00,1047,0,0.02,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
51,04:30:27,0.09,-0.00,0.01,0.33,0.00,1047,0,0.04,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
52,04:30:27,-0.07,-0.00,0.04,0.33,0.00,1047,0,0.06,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
53,04:30:27,0.09,0.00,0.07,0.33,0.00,1047,0,0.08,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
54,04:30:27,-0.07,0.00,0.08,0.33,0.00,1047,0,0.10,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
55,04:30:27,0.09,-0.00,0.09,0.33,0.00,1047,0,0.12,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
56,04:30:27,-0.07,-0.00,0.09,0.33,0.00,1047,0,0.14,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
57,04:30:27,0.08,-0.00,0.09,0.33,0.00,1047,0,0.16,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
58,04:30:27,-0.07,-0.00,0.08,0.33,0.00,1047,0,0.18,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
59,04:30:27,0.08,0.00,0.07,0.33,0.00,1047,0,0.20,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
60,04:30:27,-0.06,0.00,0.06,0.33,0.00,1047,0,0.22,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
61,04:30:28,0.08,-0.00,0.05,0.33,0.00,1047,0,0.24,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.20,2,0.18,0
