Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,00:00:00,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
2,00:00:01,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
3,00:00:02,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
4,00:00:03,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
5,00:00:04,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
6,00:00:05,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
7,00:00:06,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
8,00:00:07,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,0.00,0.00,0.00,1,0.00,0
9,00:00:08,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
10,00:00:09,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
11,00:00:10,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
12,00:00:11,-0.03,0.03,-0.03,0.33,-0.00,1047,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
13,00:00:12,-0.03,0.03,-0.03,0.33,-0.00,1194,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
14,00:00:13,-0.03,0.03,-0.03,0.33,-0.00,1343,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
15,00:00:14,-0.03,0.03,-0.03,0.33,-0.00,1495,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
16,00:00:15,-0.03,0.03,-0.03,0.33,-0.00,1649,1,0.00,0.00,0.00,100.00,0.00,1,1.00,0.00,0.00,1,0.00,0
