Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.98,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
2,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1052,0,-0.96,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
3,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1056,0,-0.94,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
4,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1060,0,-0.92,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
5,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1065,0,-0.90,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
6,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1069,0,-0.88,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
7,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1074,0,-0.86,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
8,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1078,0,-0.84,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
9,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1082,0,-0.82,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
10,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1087,0,-0.80,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
11,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1091,0,-0.78,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
12,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1095,0,-0.76,4183.36,0.00,50.00,0.00,1,0.20,0.00,0.00,1,0.00,0
13,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1104,0,-0.74,4183.36,0.00,50.00,0.00,1,0.20,0.00,0.00,1,0.00,0
14,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1113,0,-0.72,4183.36,0.00,50.00,0.00,1,0.30,0.00,0.00,1,0.00,0
15,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1126,0,-0.70,4183.36,0.00,50.00,0.00,1,0.30,0.00,0.00,1,0.00,0
16,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1139,0,-0.68,4183.36,0.00,50.00,0.00,1,0.30,0.00,0.00,1,0.00,0
17,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1152,0,-0.66,4183.36,0.00,50.00,0.00,1,0.40,0.00,0.00,1,0.00,0
18,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1170,0,-0.64,4183.36,0.00,50.00,0.00,1,0.40,0.00,0.00,1,0.00,0
19,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1187,0,-0.62,4183.36,0.00,50.00,0.00,1,0.50,0.00,0.00,1,0.00,0
20,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1209,0,-0.60,4183.36,0.00,50.00,0.00,1,0.50,0.00,0.00,1,0.00,0
21,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1231,0,-0.58,4183.36,0.00,50.00,0.00,1,0.50,0.00,0.00,1,0.00,0
22,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1253,0,-0.56,4183.36,0.00,50.00,0.00,1,0.60,0.00,0.00,1,0.00,0
23,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1279,0,-0.54,4183.36,0.00,50.00,0.00,1,0.60,0.00,0.00,1,0.00,0
24,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1306,0,-0.52,4183.36,0.00,50.00,0.00,1,0.60,0.00,0.00,1,0.00,0
25,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1332,0,-0.50,4183.36,0.00,50.00,0.00,1,0.70,0.00,0.00,1,0.00,0
26,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1363,0,-0.48,4183.36,0.00,50.00,0.00,1,0.70,0.00,0.00,1,0.00,0
27,16:59:04,0.07,-0.02,-0.06,0.33,0.00,1393,0,-0.46,4183.36,0.00,50.00,0.00,1,0.80,0.00,0.00,1,0.00,0
28,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1428,0,-0.44,4183.36,0.00,50.00,0.00,1,0.80,0.00,0.00,1,0.00,0
29,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1463,0,-0.42,4183.36,0.00,50.00,0.00,1,0.80,0.00,0.00,1,0.00,0
30,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1499,0,-0.40,4183.36,0.00,50.00,0.00,1,0.90,0.00,0.00,1,0.00,0
31,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1538,0,-0.38,4183.36,0.00,50.00,0.00,1,0.90,0.00,0.00,1,0.00,0
32,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1578,0,-0.36,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
33,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1622,0,-0.34,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
34,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1668,0,-0.32,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
35,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1715,0,-0.30,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
36,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1762,0,-0.28,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
37,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1811,0,-0.26,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
38,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1861,0,-0.24,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
39,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1913,0,-0.22,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
40,16:59:05,0.07,-0.02,-0.06,0.33,0.00,1965,0,-0.20,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
41,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2018,0,-0.18,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
42,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2073,0,-0.16,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
43,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2129,0,-0.14,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
44,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2187,0,-0.12,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
45,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2245,0,-0.10,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
46,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2305,0,-0.08,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
47,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2366,0,-0.06,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
48,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2428,0,-0.04,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
49,16:59:05,0.07,-0.02,-0.06,0.33,0.00,2491,0,-0.02,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
50,16:59:05,-0.07,0.00,-0.02,0.33,0.00,2622,0,0.02,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
51,16:59:05,0.16,-0.00,0.01,0.33,0.00,1051,1,0.04,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
52,16:59:05,-0.01,0.00,0.04,0.33,0.00,1056,1,0.06,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
53,16:59:05,0.13,0.00,0.07,0.33,0.00,1060,1,0.08,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
54,16:59:05,-0.03,-0.00,0.08,0.33,0.00,1064,1,0.10,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
55,16:59:05,0.13,-0.00,0.09,0.33,0.00,1069,1,0.12,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
56,16:59:05,-0.03,-0.00,0.09,0.33,0.00,1073,1,0.14,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
57,16:59:05,0.11,-0.00,0.09,0.33,0.00,1077,1,0.16,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
58,16:59:05,-0.04,0.00,0.08,0.33,0.00,1082,1,0.18,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
59,16:59:05,0.10,-0.00,0.07,0.33,0.00,1086,1,0.20,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
60,16:59:05,-0.06,-0.00,0.06,0.33,0.00,1091,1,0.22,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
61,16:59:05,0.08,0.00,0.05,0.33,0.00,1095,1,0.24,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
62,16:59:05,0.07,-0.03,0.03,0.33,-0.00,1100,1,0.26,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
63,16:59:05,-0.02,-0.02,0.02,0.33,-0.00,1104,1,0.28,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
64,16:59:05,-0.02,-0.01,0.02,0.33,-0.00,1108,1,0.30,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
65,16:59:05,0.01,-0.01,0.01,0.33,-0.00,1047,1,0.32,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
66,16:59:05,0.15,-0.01,0.00,0.33,-0.00,1047,1,0.34,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
67,16:59:05,0.28,0.01,-0.00,0.33,-0.00,1047,1,0.36,4183.37,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
68,16:59:05,0.63,0.01,-0.00,0.33,-0.00,1047,1,0.38,4183.37,0.01,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
69,16:59:05,0.68,0.00,-0.01,0.33,-0.00,1047,1,0.40,4183.37,0.01,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
70,16:59:05,0.86,-0.00,-0.01,0.33,-0.00,1047,1,0.42,4183.38,0.01,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
71,16:59:05,1.11,-0.00,-0.01,0.33,-0.00,1047,1,0.44,4183.38,0.02,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
72,16:59:05,1.29,-0.00,-0.02,0.33,-0.00,1047,1,0.46,4183.39,0.03,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
73,16:59:05,1.40,0.00,-0.02,0.33,-0.00,1047,1,0.48,4183.40,0.03,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
74,16:59:05,1.67,0.01,-0.02,0.33,-0.00,1047,1,0.50,4183.41,0.04,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
75,16:59:05,1.86,-0.00,-0.03,0.33,-0.00,1047,1,0.52,4183.42,0.05,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
76,16:59:05,2.06,-0.00,-0.03,0.33,-0.00,1047,1,0.54,4183.43,0.06,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
77,16:59:06,2.23,-0.00,-0.03,0.33,-0.00,1047,1,0.56,4183.44,0.08,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
78,16:59:06,2.44,-0.00,-0.03,0.33,-0.00,1047,1,0.58,4183.45,0.09,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
79,16:59:06,2.63,0.00,-0.02,0.33,-0.00,1047,1,0.60,4183.47,0.10,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
80,16:59:06,2.81,0.00,-0.02,0.33,-0.00,1047,1,0.62,4183.48,0.12,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
81,16:59:06,3.02,0.00,-0.02,0.33,-0.00,1047,1,0.64,4183.50,0.14,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
82,16:59:06,3.21,-0.00,-0.01,0.33,-0.00,1047,1,0.66,4183.52,0.15,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
83,16:59:06,3.37,-0.00,-0.01,0.33,-0.00,1047,1,0.68,4183.53,0.17,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
84,16:59:06,3.59,0.00,0.00,0.33,-0.00,1047,1,0.70,4183.55,0.19,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
85,16:59:06,3.77,0.00,0.01,0.33,-0.00,1047,1,0.72,4183.57,0.21,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
86,16:59:06,3.96,0.00,0.01,0.33,-0.00,1047,1,0.74,4183.60,0.23,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
87,16:59:06,4.19,0.00,0.02,0.33,-0.00,1047,1,0.76,4183.62,0.26,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
88,16:59:06,4.35,0.00,0.02,0.33,-0.00,1047,1,0.78,4183.64,0.28,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
89,16:59:06,4.55,0.00,0.02,0.33,-0.00,1047,1,0.80,4183.67,0.30,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
90,16:59:06,4.73,0.00,0.03,0.33,-0.00,1047,1,0.82,4183.69,0.33,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
91,16:59:06,4.93,-0.00,0.03,0.33,-0.00,1047,1,0.84,4183.72,0.36,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
92,16:59:06,5.12,-0.00,0.03,0.33,-0.00,1047,1,0.86,4183.75,0.38,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
93,16:59:06,5.32,-0.00,0.03,0.33,-0.00,1047,1,0.88,4183.78,0.41,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
94,16:59:06,5.52,0.00,0.03,0.33,-0.00,1047,1,0.90,4183.81,0.44,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
95,16:59:06,5.63,0.00,0.03,0.33,-0.00,1066,1,0.92,4183.84,0.48,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
96,16:59:06,5.87,0.00,0.03,0.33,-0.00,1047,1,0.94,4183.87,0.51,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
97,16:59:06,6.09,0.00,0.03,0.33,-0.00,1098,1,0.96,4183.90,0.54,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
98,16:59:06,6.31,-0.00,0.03,0.33,-0.00,1047,1,0.98,4183.94,0.57,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
99,16:59:06,6.45,-0.00,0.03,0.33,-0.00,1047,1,1.00,4183.98,0.61,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
100,16:59:06,6.64,-0.00,0.03,0.33,-0.00,1121,1,1.02,4184.01,0.65,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
101,16:59:06,6.90,-0.00,0.03,0.33,-0.00,1082,1,1.04,4184.05,0.69,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
102,16:59:06,7.11,-0.00,0.03,0.33,-0.00,1047,1,1.06,4184.09,0.73,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
103,16:59:06,7.24,-0.00,0.03,0.33,-0.00,1186,1,1.08,4184.13,0.77,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
104,16:59:06,7.41,-0.00,0.03,0.33,-0.00,1164,1,1.10,4184.17,0.81,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
105,16:59:06,7.60,-0.00,0.03,0.33,-0.00,1089,1,1.12,4184.21,0.85,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
106,16:59:06,7.79,-0.00,0.03,0.33,-0.00,1185,1,1.14,4184.25,0.89,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
107,16:59:06,8.03,0.00,0.03,0.33,-0.00,1180,1,1.16,4184.30,0.94,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
108,16:59:06,8.23,-0.00,0.03,0.33,-0.00,1303,1,1.18,4184.34,0.98,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
109,16:59:06,8.42,-0.00,0.03,0.33,-0.00,1323,1,1.20,4184.39,1.03,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
