Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,00:00:00,0.00,0.00,-0.00,0.33,0.00,942,0,-0.98,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
2,00:00:00,0.00,0.00,-0.00,0.33,0.00,1100,0,-0.96,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
3,00:00:00,0.00,0.00,-0.00,0.33,0.00,1264,0,-0.94,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
4,00:00:00,0.00,0.00,-0.00,0.33,0.00,1432,0,-0.92,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
5,00:00:00,0.00,0.00,-0.00,0.33,0.00,1606,0,-0.90,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
6,00:00:00,0.00,0.00,-0.00,0.33,0.00,1784,0,-0.88,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
7,00:00:00,0.00,0.00,-0.00,0.33,0.00,1967,0,-0.86,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
8,00:00:00,0.00,0.00,-0.00,0.33,0.00,2156,0,-0.84,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
9,00:00:00,0.00,0.00,-0.00,0.33,0.00,2360,0,-0.82,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
10,00:00:00,0.00,0.00,-0.00,0.33,0.00,2581,0,-0.80,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
11,00:00:00,0.00,0.00,-0.00,0.33,0.00,2822,0,-0.78,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
12,00:00:00,0.00,0.00,-0.00,0.33,0.00,3084,0,-0.76,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
13,00:00:00,0.00,0.00,-0.00,0.33,0.00,3369,0,-0.74,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
14,00:00:00,0.00,0.00,-0.00,0.33,0.00,3673,0,-0.72,6201.46,0.00,94.00,0.00,1,1.00,0.00,-0.03,0,0.64,0
