Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.98,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
2,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1052,0,-0.96,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
3,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1056,0,-0.94,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
4,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1060,0,-0.92,4183.36,0.00,50.00,0.00,1,0.20,0.00,0.00,1,0.00,0
5,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1069,0,-0.90,4183.36,0.00,50.00,0.00,1,0.20,0.00,0.00,1,0.00,0
6,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1078,0,-0.88,4183.36,0.00,50.00,0.00,1,0.20,0.00,0.00,1,0.00,0
7,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1087,0,-0.86,4183.36,0.00,50.00,0.00,1,0.30,0.00,0.00,1,0.00,0
8,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1100,0,-0.84,4183.36,0.00,50.00,0.00,1,0.30,0.00,0.00,1,0.00,0
9,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1113,0,-0.82,4183.36,0.00,50.00,0.00,1,0.40,0.00,0.00,1,0.00,0
10,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1131,0,-0.80,4183.36,0.00,50.00,0.00,1,0.40,0.00,0.00,1,0.00,0
11,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1148,0,-0.78,4183.36,0.00,50.00,0.00,1,0.40,0.00,0.00,1,0.00,0
12,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1166,0,-0.76,4183.36,0.00,50.00,0.00,1,0.50,0.00,0.00,1,0.00,0
13,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1188,0,-0.74,4183.36,0.00,50.00,0.00,1,0.50,0.00,0.00,1,0.00,0
14,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1209,0,-0.72,4183.36,0.00,50.00,0.00,1,0.60,0.00,0.00,1,0.00,0
15,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1236,0,-0.70,4183.36,0.00,50.00,0.00,1,0.60,0.00,0.00,1,0.00,0
16,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1262,0,-0.68,4183.36,0.00,50.00,0.00,1,0.60,0.00,0.00,1,0.00,0
17,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1288,0,-0.66,4183.36,0.00,50.00,0.00,1,0.70,0.00,0.00,1,0.00,0
18,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1319,0,-0.64,4183.36,0.00,50.00,0.00,1,0.70,0.00,0.00,1,0.00,0
19,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1350,0,-0.62,4183.36,0.00,50.00,0.00,1,0.80,0.00,0.00,1,0.00,0
20,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1385,0,-0.60,4183.36,0.00,50.00,0.00,1,0.80,0.00,0.00,1,0.00,0
21,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1420,0,-0.58,4183.36,0.00,50.00,0.00,1,0.80,0.00,0.00,1,0.00,0
22,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1455,0,-0.56,4183.36,0.00,50.00,0.00,1,0.90,0.00,0.00,1,0.00,0
23,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1495,0,-0.54,4183.36,0.00,50.00,0.00,1,0.90,0.00,0.00,1,0.00,0
24,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1534,0,-0.52,4183.36,0.00,50.00,0.00,1,0.90,0.00,0.00,1,0.00,0
25,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1574,0,-0.50,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
26,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1618,0,-0.48,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
27,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1664,0,-0.46,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
28,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1711,0,-0.44,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
29,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1758,0,-0.42,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
30,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1807,0,-0.40,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
31,03:56:11,0.07,-0.02,-0.06,0.33,0.00,1857,0,-0.38,4183.36,0.00,50.00,0.00,1,1.00,0.00,0.00,1,0.00,0
