Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.98,4183.36,0.00,50.00,0.00,1,0.00,0.00,0.00,1,0.00,0
2,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.96,4183.36,0.00,50.00,0.00,1,0.00,0.00,0.00,1,0.00,0
3,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.94,4183.36,0.00,50.00,0.00,1,0.00,0.00,0.00,1,0.00,0
4,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.92,4183.36,0.00,50.00,0.00,1,0.00,0.00,0.00,1,0.00,0
5,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.90,4183.36,0.00,50.00,0.00,1,0.00,0.00,0.00,1,0.00,0
6,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.88,4183.36,0.00,50.00,0.00,1,0.00,0.00,0.00,1,0.00,0
7,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.86,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
8,03:20:37,0.07,-0.02,-0.06,0.33,0.00,1052,0,-0.84,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
9,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1056,0,-0.82,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
10,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1060,0,-0.80,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
11,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1065,0,-0.78,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
12,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1069,0,-0.76,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
13,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1074,0,-0.74,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
14,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1078,0,-0.72,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
15,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1082,0,-0.70,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
16,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1087,0,-0.68,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
17,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1091,0,-0.66,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
18,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1095,0,-0.64,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
19,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1100,0,-0.62,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
20,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1104,0,-0.60,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
21,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1108,0,-0.58,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
22,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1113,0,-0.56,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
23,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1117,0,-0.54,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
24,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1121,0,-0.52,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
25,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1126,0,-0.50,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
26,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1130,0,-0.48,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
27,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1134,0,-0.46,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
28,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1139,0,-0.44,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
29,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1143,0,-0.42,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
30,03:20:38,0.07,-0.02,-0.06,0.33,0.00,1147,0,-0.40,4183.36,0.00,50.00,0.00,1,0.10,0.00,0.00,1,0.00,0
