Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,04:02:22,0.07,-0.02,-0.06,0.33,0.00,1047,0,-0.98,4183.36,0.00,50.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
2,04:02:22,0.07,-0.02,-0.06,0.33,0.00,1060,0,-0.96,4183.36,0.00,50.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
3,04:02:22,0.07,-0.02,-0.06,0.33,0.00,1087,0,-0.94,4183.36,0.00,50.00,0.00,1,0.90,0.00,-0.21,0,0.00,0
4,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1126,0,-0.92,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
5,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1170,0,-0.90,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
6,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1214,0,-0.88,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
7,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1258,0,-0.86,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
8,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1302,0,-0.84,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
9,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1346,0,-0.82,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
10,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1390,0,-0.80,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
11,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1434,0,-0.78,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
12,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1478,0,-0.76,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
13,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1522,0,-0.74,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
14,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1566,0,-0.72,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
15,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1611,0,-0.70,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
16,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1656,0,-0.68,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
17,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1703,0,-0.66,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
18,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1750,0,-0.64,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
19,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1799,0,-0.62,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
20,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1848,0,-0.60,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
21,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1899,0,-0.58,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
22,04:02:23,0.07,-0.02,-0.06,0.33,0.00,1951,0,-0.56,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
23,04:02:23,0.07,-0.02,-0.06,0.33,0.00,2005,0,-0.54,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
24,04:02:23,0.07,-0.02,-0.06,0.33,0.00,2059,0,-0.52,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
25,04:02:23,0.07,-0.02,-0.06,0.33,0.00,2115,0,-0.50,4183.36,0.00,50.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
